編號,AREA,112迄今各里人口數按年齡分_cleaned_65_up,Area-2
"8",211738.84996,"2072",99651.2568779178
"60",723840.63041,"1738",135442.56134365
"60",255150.97414,"2065",44475.0141963033
"60",382711.05997,"1743",594.3999072043
"28",582101.83393,"891",3949.7101856144
"28",333906.41825,"1495",4830.8918489133
"28",109372.56684,"1259",62198.0899848421
"28",130596.06752,"1101",102465.212341272
"28",139193.07493,"1141",51.2836591084
"28",128903.43012,"916",125833.855814165
"28",136789.70104,"1093",16321.3837426441
"28",145686.88443,"1233",43111.7036166179
"28",119010.51415,"997",116550.827608156
"28",164856.83024,"1495",63749.0942257235
"28",169403.1582,"1275",77748.7636051956
"28",193284.4122,"1203",1861.1234306151
"4",1104338.40047,"1707",429.5732868142
"4",491042.94143,"818",276692.638136142
"4",196020.87452,"1053",43816.6182999415
"4",392402.91033,"1683",320958.884107226
"4",357904.13261,"1996",357950.334019597
"4",168238.78704,"1537",103765.131425172
"4",2074407.63814,"772",271149.635129723
"5",255150.97414,"2065",1129.4910289478
"5",382711.05997,"1743",54322.6668823058
"5",212753.16325,"1264",149817.618508016
"5",205378.1712,"1425",77216.2847748883
"5",534368.337,"1405",14869.390592929
"5",140788.8031,"1255",133494.31525805
"5",266493.97505,"1480",11510.5752851982
"5",211738.84996,"2072",3225.9446935426
"72",1669844.39807,"2046",667578.640301549
"72",1860417.89217,"1620",49328.1035952189
"68",1669844.39807,"2046",15542.0570907462
"68",1860417.89217,"1620",29491.7107060561
"68",723840.63041,"1738",33509.3073052317
"68",255150.97414,"2065",22051.7491368623
"64",1669844.39807,"2046",95159.7376229627
"64",1860417.89217,"1620",519742.178015882
"64",723840.63041,"1738",21545.3679598039
"64",405724.58676,"1719",49608.1166158222
"64",165887.90177,"1721",15863.8384644066
"6",1104338.40047,"1707",142770.973548606
"6",534368.337,"1405",262059.447530311
"6",140788.8031,"1255",6349.7132754475
"6",211738.84996,"2072",58569.5081354677
"6",109090.99859,"1160",108173.964557079
"6",491042.94143,"818",103452.726329333
"6",146588.72113,"1378",28894.0024772021
"6",392402.91033,"1683",7661.522527246
"10",1860417.89217,"1620",72388.8802221378
"10",405724.58676,"1719",281444.880192323
"10",165887.90177,"1721",150045.430599251
"10",255150.97414,"2065",185317.024455651
"10",212753.16325,"1264",32833.2003859626
"10",205378.1712,"1425",128188.39659289
"10",534368.337,"1405",121242.138713719
"36",746310.66894,"849",45287.3320877927
"36",171784.16272,"1357",56343.6925111979
"36",215014.79803,"1990",174229.683594206
"36",259810.97123,"2079",105504.284790875
"36",298034.43906,"1331",2597.2337099793
"36",121328.58767,"1531",121344.398809454
"36",122789.21832,"682",18952.9037187798
"36",122323.72928,"796",42750.6622194964
"36",144089.53121,"1266",110732.80315962
"36",509925.86454,"1026",116616.394231764
"36",219054.2034,"1748",4691.6442484866
"63",16326540.39624,"233",184472.34927965
"63",11718107.99276,"373",116724.435481524
"63",3751806.2602,"437",1322105.57442915
"63",2186367.62995,"834",354653.365426369
"35",635173.30442,"1102",198570.218476796
"35",1262458.58483,"187",43943.9728965873
"35",582101.83393,"891",19382.1871021137
"35",109333.7541,"1091",109347.851605082
"35",178391.87275,"1899",178414.726598781
"35",121044.43673,"902",60537.9519208004
"35",196221.76525,"1752",32890.3571285877
"35",109372.56684,"1259",26132.7487117581
"35",130596.06752,"1101",10709.4430818937
"35",139193.07493,"1141",139159.787413085
"35",136789.70104,"1093",120486.007715217
"35",193600.10359,"1548",193624.895174998
"35",172667.0228,"1645",64301.3580534551
"35",145686.88443,"1233",102594.020045548
"35",199450.61071,"1857",65122.1223359932
"35",169403.1582,"1275",2165.7555829624
"35",193284.4122,"1203",58468.4995648798
"35",248720.4119,"1729",66582.6434500911
"35",181273.18345,"1254",6576.4174601668
"2",1104338.40047,"1707",232092.878450549
"2",1371651.79686,"346",714574.813711867
"2",2282772.99223,"767",549595.033418177
"2",491042.94143,"818",110659.353147955
"2",2074407.63814,"772",200990.631392225
"22",73196.56071,"907",619.2825366715
"22",56893.73937,"775",19064.309665205
"22",176638.15262,"905",29936.9938515485
"22",131288.59171,"1215",95026.5811905981
"22",110962.8106,"1070",95229.5209456426
"22",143400.96223,"1534",17566.7816916719
"22",295228.33742,"1570",10128.5279759208
"22",155423.3246,"941",190500.552961262
"22",371928.80167,"1357",936.4912324511
"22",195223.03119,"463",70643.0010831743
"22",145226.0513,"874",143770.118582766
"22",130755.03614,"1565",130771.01769793
"22",275461.76133,"1300",275495.845375272
"22",139215.27403,"1080",138072.589458658
"22",2285205.74934,"577",132699.162018383
"22",273733.77276,"1883",240045.998973641
"22",502239.99137,"1028",114754.695138497
"22",293010.46535,"1170",251460.210586375
"22",715079.20044,"497",21230.1911526285
"32",1262458.58483,"187",476269.428946975
"32",2308576.65841,"1034",546656.276667956
"32",121044.43673,"902",60521.9345784527
"32",196221.76525,"1752",163356.310249013
"32",192113.51107,"1800",192137.72705728
"32",210634.38171,"1661",162527.878827623
"32",172667.0228,"1645",104010.3121552
"32",272152.28608,"2391",31333.3547377278
"32",199450.61071,"1857",265.7625333816
"21",144089.53121,"1266",2436.5221079607
"21",509925.86454,"1026",393374.587510368
"21",219054.2034,"1748",26859.7306534038
"21",92530.00743,"1482",83611.1464476592
"21",176678.35312,"1755",156576.066848829
"21",88673.5926,"940",48532.3765314538
"21",160516.37437,"1246",171.8159849523
"21",125137.69486,"1408",115804.079341984
"21",97264.30456,"1033",58370.3922576663
"21",145214.88422,"1377",145233.557926769
"21",173439.7433,"1799",130667.50523914
"21",106572.13407,"1047",51082.9255997886
"21",2285205.74934,"577",179244.548514627
"21",191477.47552,"2056",45941.1892060624
"39",459964.33911,"840",36809.6035672774
"39",344875.51159,"1866",287288.261656997
"39",288101.64421,"1519",46955.7554892097
"39",139807.61918,"953",1894.8231555233
"39",746310.66894,"849",12982.8234467471
"39",164843.28673,"1212",164864.565911817
"39",245902.47301,"1580",50618.7405600183
"39",171784.16272,"1357",115462.809028461
"39",215014.79803,"1990",40812.900581879
"39",259810.97123,"2079",154339.935080689
"39",298034.43906,"1331",27761.3935644196
"30",248720.4119,"1729",8590.7455397228
"30",223356.56782,"1070",158212.759503807
"30",355211.79026,"1683",68655.7406996537
"30",274595.98364,"1013",174369.489457083
"30",290659.00855,"1629",290695.809688483
"30",127543.80358,"697",127559.976626254
"30",88871.86538,"705",36672.5689840107
"30",165564.24406,"796",177624.397343234
"30",344875.51159,"1866",47011.4174210287
"30",200100.64787,"2009",48358.8475597813
"30",112380.16441,"1082",107640.879260166
"30",139807.61918,"953",132696.642712439
"30",245902.47301,"1580",48310.2224102691
"30",211158.25874,"1471",295.5478830151
"26",200100.64787,"2009",2790.1015701769
"26",245902.47301,"1580",147004.620889378
"26",211158.25874,"1471",193889.767242698
"26",167013.39411,"1642",148.8248307777
"26",298034.43906,"1331",267713.512580319
"26",122040.58859,"1168",122055.890209844
"26",146264.88376,"1502",146283.118969039
"26",177985.36401,"1551",16500.1361414517
"26",219054.2034,"1748",187530.526047778
"26",134672.94947,"1216",134689.785324875
"26",173207.70235,"1436",31978.3154883852
"26",92530.00743,"1482",8930.6017007313
"26",161143.47954,"1234",136956.410147624
